iter	RMSE
0	0.6903527987
1	0.6903507765
2	0.6903497599
3	0.6903492489
4	0.6891138197
5	0.6826153159
6	0.6826153152
7	0.6826153149
8	0.6826153147
9	0.6826153146
10	0.6826153146
11	0.6826153145
12	0.6659921422
13	0.6577597703
14	0.6577586631
15	0.6577581066
16	0.6497285881
17	0.6392871991
18	0.6392869762
19	0.6363739809
20	0.6363719129
21	0.621780604
22	0.6196638435
23	0.6196629313
24	0.6123264277
25	0.6092926121
26	0.6077666913
27	0.5982348924
28	0.5931709656
29	0.5931698977
30	0.5898512962
31	0.5898512193
32	0.5898511807
33	0.5807575993
34	0.5807575987
35	0.5802802727
36	0.5692932086
37	0.568942377
38	0.5689403636
39	0.5673697476
40	0.5673689408
41	0.5673685353
42	0.5498577423
43	0.5498462908
44	0.5219279461
45	0.5187574517
46	0.5177348901
47	0.5012886131
48	0.5012233907
49	0.4993612051
50	0.4983842546
51	0.4980361043
52	0.4980329083
53	0.4822876746
54	0.4822848389
55	0.4716170667
56	0.470858473
57	0.4708498865
58	0.4703159796
59	0.4670635952
60	0.4670498969
61	0.4610996336
62	0.4610944135
63	0.4599897703
64	0.4593802932
65	0.4593798885
66	0.4548352734
67	0.4548351444
68	0.4548350796
69	0.454835047
70	0.4539926008
71	0.4532214993
72	0.4532214984
73	0.4532214979
74	0.4354707046
75	0.4348285964
76	0.4348235193
77	0.4348209671
78	0.4343163537
79	0.4322589216
80	0.4312581205
81	0.4312567817
82	0.4312561086
83	0.4307117182
84	0.4177343369
85	0.4172081852
86	0.4172077271
87	0.4172074969
88	0.4168527794
89	0.4168520554
90	0.4118438562
91	0.4112508692
92	0.409492884
93	0.4016387209
94	0.3911445501
95	0.3891573942
96	0.3839782542
97	0.3839768142
98	0.3839760903
99	0.3839757264
100	0.3839755435
101	0.3839754515
102	0.3834906472
103	0.3834905878
104	0.3745803635
105	0.3662788566
106	0.3658196887
107	0.3600074489
108	0.3597305084
109	0.3593543994
110	0.3593542938
111	0.3593542408
112	0.3593542141
113	0.3589910472
114	0.3589909864
115	0.3589909559
