iter	Passed	Remaining
0	1	1296
1	1	671
2	1	474
3	1	373
4	1	322
5	1	280
6	1	246
7	1	219
8	1	201
9	1	183
10	1	169
11	1	156
12	2	160
13	2	152
14	2	144
15	2	136
16	2	138
17	2	139
18	2	133
19	2	130
20	2	125
21	2	125
22	2	122
23	2	118
24	3	120
25	3	117
26	3	114
27	3	113
28	3	112
29	3	109
30	3	108
31	3	106
32	3	104
33	3	108
34	3	106
35	3	105
36	4	108
37	4	107
38	4	105
39	4	104
40	4	102
41	4	100
42	4	101
43	4	99
44	5	107
45	5	107
46	5	106
47	5	108
48	5	106
49	5	106
50	5	105
51	5	104
52	5	102
53	5	104
54	5	102
55	6	102
56	6	101
57	6	99
58	6	98
59	6	98
60	6	97
61	6	104
62	7	104
63	7	104
64	7	104
65	7	103
66	7	104
67	7	104
68	7	103
69	7	102
70	7	101
71	7	100
72	7	99
73	7	98
74	8	104
75	8	103
76	8	102
77	8	101
78	8	100
79	8	100
80	8	100
81	8	99
82	8	98
83	8	97
84	9	97
85	9	97
86	9	96
87	9	95
88	9	94
89	9	93
90	9	93
91	9	92
92	9	92
93	9	93
94	9	94
95	9	93
96	10	93
97	10	93
98	10	92
99	10	91
100	10	90
101	10	89
102	10	89
103	10	88
104	10	90
105	10	91
106	10	91
107	11	91
108	11	91
109	11	91
110	11	90
111	11	90
112	11	89
113	11	89
114	11	88
115	11	88
116	11	88
117	11	88
118	11	88
119	12	88
120	12	88
121	12	87
122	12	87
123	12	86
124	12	85
125	12	85
126	12	85
127	12	84
128	12	84
129	12	84
130	12	83
131	12	82
132	12	82
133	12	81
134	12	81
135	12	80
136	12	80
137	12	79
138	12	79
139	12	79
140	12	78
141	12	78
142	12	77
143	13	77
144	13	76
145	13	76
146	13	75
147	13	75
148	13	74
149	13	74
150	13	73
151	13	73
152	13	73
153	13	73
154	13	72
155	13	72
156	13	72
157	13	71
158	13	71
159	13	70
160	13	70
161	13	70
162	13	69
163	13	69
164	13	69
165	13	69
166	13	69
167	13	69
168	13	68
169	14	68
170	14	68
171	14	67
172	14	67
173	14	67
174	14	66
175	14	66
176	14	66
177	14	66
178	14	66
179	14	65
180	14	65
181	14	65
182	14	65
183	14	65
184	14	64
185	14	65
186	14	64
187	14	64
188	15	64
189	15	64
190	15	64
191	15	64
192	15	63
193	15	63
194	15	63
195	15	63
196	15	63
197	15	63
198	15	62
199	15	62
200	15	62
201	15	62
202	15	61
203	15	61
204	15	61
205	15	61
206	15	61
207	16	61
208	16	60
209	16	60
210	16	61
211	16	62
212	16	61
213	16	61
214	16	61
215	17	61
216	17	61
217	17	61
218	17	61
219	17	61
220	17	61
221	17	61
222	17	60
223	17	60
224	17	60
225	17	60
226	17	60
227	17	60
228	17	60
229	18	60
230	18	60
231	18	60
232	18	60
233	18	59
234	18	59
235	18	59
236	18	59
237	18	59
238	18	59
239	18	59
240	18	59
241	19	59
242	19	59
243	19	59
244	19	59
245	19	59
246	19	58
247	19	58
248	19	58
249	19	59
250	19	59
251	19	58
252	19	58
253	19	58
254	19	58
255	19	57
256	20	58
257	20	57
258	20	57
259	20	57
260	20	57
261	20	57
262	20	57
263	21	58
264	21	58
265	21	58
266	21	58
267	21	58
268	21	58
269	21	58
270	21	58
271	21	58
272	22	58
273	22	58
274	22	58
275	22	58
276	22	58
277	22	58
278	22	57
279	22	57
280	22	57
281	22	57
282	22	57
283	22	57
284	22	57
285	22	57
286	23	57
287	23	57
288	23	56
289	23	56
290	23	56
291	23	56
292	23	56
293	23	56
294	23	55
295	23	55
296	23	55
297	23	55
298	23	55
299	23	55
300	23	54
301	23	54
302	23	54
303	23	54
304	23	54
305	23	54
306	23	53
307	23	53
308	23	53
309	24	53
310	24	53
311	24	53
312	24	52
313	24	52
314	24	52
315	24	52
316	24	52
317	24	52
318	24	52
319	24	52
320	24	52
321	24	52
322	24	52
323	25	52
324	25	52
325	25	52
326	25	52
327	25	52
328	25	52
329	25	52
330	25	52
331	25	51
332	26	52
333	26	52
334	26	52
335	26	52
336	26	52
337	26	52
338	26	52
339	27	52
340	27	52
341	27	52
342	27	52
343	27	52
344	27	52
345	27	52
346	27	52
347	27	52
348	28	52
349	28	52
350	28	52
351	28	52
352	28	52
353	28	52
354	29	52
355	29	53
356	29	53
357	29	53
358	29	53
359	30	53
360	30	53
361	30	53
362	30	53
363	30	53
364	30	53
365	30	53
366	30	53
367	30	53
368	30	52
369	31	52
370	31	52
371	31	52
372	31	52
373	31	52
374	31	52
375	31	53
376	32	53
377	32	53
378	32	53
379	32	53
380	32	53
381	32	52
382	32	52
383	32	52
384	33	52
385	33	52
386	33	52
387	33	52
388	33	52
389	33	52
390	33	52
391	34	53
392	34	53
393	34	53
394	34	53
395	34	52
396	34	52
397	34	52
398	35	52
399	35	52
400	38	56
401	39	58
402	39	57
403	39	57
404	39	57
405	39	57
406	39	57
407	39	57
408	39	57
409	39	57
410	40	57
411	40	57
412	40	57
413	40	57
414	40	57
415	40	57
416	41	57
417	41	57
418	41	57
419	41	56
420	41	56
421	41	57
422	42	57
423	42	57
424	42	57
425	42	56
426	42	56
427	42	56
428	42	56
429	42	56
430	42	56
431	42	56
432	43	56
433	43	56
434	43	56
435	43	56
436	43	56
437	43	56
438	43	56
439	44	56
440	44	55
441	44	55
442	44	55
443	44	55
444	44	55
445	44	55
446	44	55
447	44	55
448	44	55
449	44	54
450	44	54
451	45	54
452	45	54
453	45	54
454	45	54
455	45	54
456	45	53
457	45	53
458	45	53
459	45	53
460	45	53
461	45	53
462	45	53
463	45	52
464	46	53
465	46	52
466	46	53
467	46	52
468	46	52
469	46	52
470	46	52
471	46	52
472	46	52
473	46	52
474	46	51
475	47	51
476	47	52
477	47	52
478	48	52
479	48	52
480	48	52
481	48	52
482	48	52
483	48	51
484	48	51
485	48	51
486	48	51
487	48	51
488	49	51
489	49	51
490	49	51
